label;image
banana ;"<a title=""Uploaded by JoJan, CC BY-SA 3.0 &lt;http://creativecommons.org/licenses/by-sa/3.0/&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Musa-sp3.1.jpg""><img width=""250"" height=""250"" alt=""Musa-sp3.1"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Musa-sp3.1.jpg/256px-Musa-sp3.1.jpg""></a>"
mango ;"<a title=""Ivar Leidus, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Mangos_-_single_and_halved.jpg""><img width=""250"" height=""250"" alt=""Mangos - single and halved"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/512px-Mangos_-_single_and_halved.jpg""></a>"
grapes;"<a title=""Dragonflyir hassanahmadi, CC BY-SA 3.0 &lt;https://creativecommons.org/licenses/by-sa/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Abhar-iran.JPG""><img width=""250"" height=""250"" alt=""Abhar-iran"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Abhar-iran.JPG/256px-Abhar-iran.JPG""></a>"
watermelon ;"<a title=""Shu Suehiro, CC BY 3.0 &lt;https://creativecommons.org/licenses/by/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Citrullus_lanatus5SHSU.jpg""><img width=""250"" height=""250"" alt=""Citrullus lanatus5SHSU"" src=""https://upload.wikimedia.org/wikipedia/commons/8/89/Citrullus_lanatus5SHSU.jpg""></a>"
muskmelon;"<a title=""FASTILY, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Cucumis_melo_1_2017-12-27.jpg""><img width=""250"" height=""250"" alt=""Cucumis melo 1 2017-12-27"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Cucumis_melo_1_2017-12-27.jpg/512px-Cucumis_melo_1_2017-12-27.jpg""></a>"
apple;"<a title=""Abhijit Tembhekar from Mumbai, India, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Red_Apple.jpg""><img width=""250"" height=""250"" alt=""Red Apple"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/512px-Red_Apple.jpg""></a>"
orange;"<a title=""Andrew Malone, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Oranges_(356298118).jpg""><img width=""250"" height=""250"" alt=""Oranges (356298118)"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Oranges_%28356298118%29.jpg/512px-Oranges_%28356298118%29.jpg""></a>"
papaya;"<a title=""Judgefloro, CC0, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:330Carica_papaya_seeds_01.jpg""><img width=""250"" height=""250"" alt=""330Carica papaya seeds 01"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/330Carica_papaya_seeds_01.jpg/512px-330Carica_papaya_seeds_01.jpg""></a>"
coconut;"<a title=""Ivar Leidus, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Coconuts_-_single_and_cracked_open.jpg""><img width=""250"" height=""250"" alt=""Coconuts - single and cracked open"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Coconuts_-_single_and_cracked_open.jpg/512px-Coconuts_-_single_and_cracked_open.jpg""></a>"
cotton;"<a title=""Mamichaelraj, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:BALLS_OF_COTTON_(ANDHRA_-SOUTH_INDIA)_READY_FOR_HARVEST.jpg""><img width=""250"" height=""250"" alt=""BALLS OF COTTON (ANDHRA -SOUTH INDIA) READY FOR HARVEST"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/BALLS_OF_COTTON_%28ANDHRA_-SOUTH_INDIA%29_READY_FOR_HARVEST.jpg/512px-BALLS_OF_COTTON_%28ANDHRA_-SOUTH_INDIA%29_READY_FOR_HARVEST.jpg""></a>"
jute ;"<a title=""Malcolm Manners from Lakeland FL, USA, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Jute_Field_Bangladesh_(7749587518).jpg""><img width=""250"" height=""250"" alt=""Jute Field Bangladesh (7749587518)"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Jute_Field_Bangladesh_%287749587518%29.jpg/512px-Jute_Field_Bangladesh_%287749587518%29.jpg""></a>"
coffee;"<a title=""MarkSweep, Public domain, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Roasted_coffee_beans.jpg""><img width=""250"" height=""250"" alt=""Roasted coffee beans"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Roasted_coffee_beans.jpg/512px-Roasted_coffee_beans.jpg""></a>"
